Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351886123008	1.6355	2.6224	0.5	500	50
1351886123598	1.7110	2.3782	0.5	500	50
1351886124171	1.7097	2.3731	0.5	500	50
1351886124724	1.7640	2.6272	0.5	500	50
1351886125278	1.9233	2.8508	0.5	500	50
1351886125803	1.7866	2.6266	0.5	500	50
1351886126320	1.7527	2.6251	0.5	500	50
1351886126842	1.7910	2.6360	0.5	500	50
1351886127341	1.8038	2.5988	0.5	500	50
1351886127844	1.5477	2.6234	0.5	500	50
1351886128345	1.7973	2.6238	0.5	500	50
1351886128841	1.7621	2.6234	0.5	500	50
1351886129351	1.7597	3.2136	0.5	500	50
1351886129921	1.7186	2.9320	0.5	500	50
1351886130405	1.8579	3.2159	0.5	500	50
1351886130888	1.8294	2.6273	0.5	500	50
1351886131437	1.7851	2.3779	0.5	500	50
1351886131951	1.7807	2.6243	0.5	500	50
1351886132518	1.9049	2.8544	0.5	500	50
1351886133023	1.6864	2.8516	0.5	500	50
1351886133553	1.6718	2.3764	0.5	500	50
1351886134067	1.7672	2.3759	0.5	500	50
1351886134563	1.6842	2.8462	0.5	500	50
1351886135121	1.7978	2.8515	0.5	500	50
1351886135670	1.8192	2.6258	0.5	500	50
1351886136235	1.7592	2.6234	0.5	500	50
1351886136751	1.7602	2.8514	0.5	500	50
1351886137323	1.6667	1.9225	0.5	500	50
1351886137902	1.7346	2.3779	0.5	500	50
1351886138478	1.6739	2.2655	0.5	500	50
1351886138992	1.9132	2.8487	0.5	500	50
1351886139560	1.5170	2.2709	0.5	500	50
1351886140200	1.7318	2.6244	0.5	500	50
1351886140770	1.4908	2.6304	0.5	500	50
1351886141323	1.6881	2.6982	0.5	500	50
1351886141877	1.8023	2.6263	0.5	500	50
1351886142484	1.7929	2.3751	0.5	500	50
1351886143113	1.5682	2.6302	0.5	500	50
1351886143743	1.8043	2.2676	0.5	500	50
1351886144355	1.6177	2.6244	0.5	500	50
1351886144911	1.6886	2.6275	0.5	500	50
1351886145515	1.6233	2.6278	0.5	500	50
1351886146050	1.7721	2.6268	0.5	500	50
1351886146620	1.8023	2.1684	0.5	500	50
1351886147176	1.9525	2.0793	0.5	500	50
1351886147757	1.6441	2.5703	0.5	500	50
1351886148517	1.8067	2.6275	0.5	500	50
1351886149104	1.6632	2.6290	0.5	500	50
1351886149854	1.5761	2.6253	0.5	500	50
1351886150433	1.7938	2.6232	0.5	500	50
1351886151011	1.6134	2.6260	0.5	500	50
1351886151548	1.6515	2.8560	0.5	500	50
1351886152110	1.5772	2.6564	0.5	500	50
1351886152640	1.7993	2.3751	0.5	500	50
1351886153238	1.4429	2.6248	0.5	500	50
1351886153842	1.5811	2.6241	0.5	500	50
1351886154371	1.6566	2.6244	0.5	500	50
1351886154870	1.7778	2.8496	0.5	500	50
1351886155363	1.7817	2.8539	0.5	500	50
1351886155932	1.7924	2.8549	0.5	500	50
1351886156434	1.8977	2.6255	0.5	500	50
1351886156960	1.7769	2.5917	0.5	500	50
1351886157618	1.8548	2.6257	0.5	500	50
1351886158269	1.7740	2.0799	0.5	500	50
1351886158831	1.7938	2.8475	0.5	500	50
1351886159388	1.7588	2.6451	0.5	500	50
1351886159921	1.6499	2.3775	0.5	500	50
1351886160501	1.4036	2.3756	0.5	500	50
1351886161078	1.3876	2.6280	0.5	500	50
1351886161667	1.7030	2.5607	0.5	500	50
1351886162217	1.8163	2.6266	0.5	500	50
1351886162783	1.6696	2.9362	0.5	500	50
1351886163452	1.7013	2.3777	0.5	500	50
1351886164016	1.8072	2.6243	0.5	500	50
1351886164530	1.7811	2.3820	0.5	500	50
1351886165139	1.6458	2.6233	0.5	500	50
1351886165648	1.9177	2.7548	0.5	500	50
1351886166254	1.5241	2.6237	0.5	500	50
1351886166897	1.7602	2.0780	0.5	500	50
1351886167550	1.8062	2.1735	0.5	500	50
1351886168117	1.8392	2.6264	0.5	500	50
1351886168793	1.5792	2.3003	0.5	500	50
1351886169339	1.8057	2.4344	0.5	500	50
1351886169882	1.8043	2.6277	0.5	500	50
