Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351881149958	1.3912	2.6269	200000	500	50
1351881150582	1.2836	2.6620	200000	500	50
1351881151107	2.1061	3.4488	200000	500	50
1351881151690	1.7914	3.4481	200000	500	50
1351881152318	2.5680	2.9417	200000	500	50
1351881152940	1.8203	2.9480	200000	500	50
1351881153539	1.3550	3.1791	200000	500	50
1351881154092	1.9177	3.6308	200000	500	50
1351881154663	1.5024	2.7334	200000	500	50
1351881155267	1.5976	2.6260	200000	500	50
1351881155862	1.6773	2.8657	200000	500	50
1351881156441	2.1979	2.7444	200000	500	50
1351881157031	2.1157	2.9382	200000	500	50
1351881157641	1.3836	2.7352	200000	500	50
1351881158214	2.2293	3.3268	200000	500	50
1351881158817	2.2484	2.9405	200000	500	50
1351881159397	1.9222	2.9369	200000	500	50
1351881159986	1.5530	3.1718	200000	500	50
1351881160551	1.9245	2.9364	200000	500	50
1351881161103	1.4898	3.1729	200000	500	50
1351881161712	1.6595	3.3365	200000	500	50
1351881162283	1.9267	2.8186	200000	500	50
1351881162913	1.4915	2.7018	200000	500	50
1351881163474	1.5660	3.6274	200000	500	50
1351881164004	2.3151	3.4451	200000	500	50
1351881164574	2.2346	3.0814	200000	500	50
1351881165152	1.9755	3.1708	200000	500	50
1351881165712	1.3329	3.4416	200000	500	50
1351881166275	1.9410	3.1715	200000	500	50
1351881169945	1.2292	2.8159	200000	500	50
1351881170573	1.8187	3.1691	200000	500	50
1351881171193	1.2338	3.3338	200000	500	50
1351881171793	1.8392	2.9361	200000	500	50
1351881172426	1.4204	3.1764	200000	500	50
1351881173024	2.1027	3.0313	200000	500	50
1351881173586	1.9923	3.2760	200000	500	50
1351881174206	2.0874	2.9373	200000	500	50
1351881174793	1.9105	3.0356	200000	500	50
